ID,Site_No,Coordinates_N_Decimal,Coordinates_S_Decimal,Region_x,Forest_division_x,Range_sub-division_x,Location_Site,Area_claimed_ha,Area_ha_Monitoring_Team,Variance_Area_Planted,Percent_Area_planted,Total_plants_planted_Per_record,Total_plants_planted_Monitoring_Team,Variance,Variance_plants_Planted,Survival_Rate_Percent,ID_y,Region_y,Forest_division_y,Range_sub-division_y,Coordinates_N,Coordinates_S,Ele_m,Coordinates_S_Degree,Coordinates_S_Minute,Coordinates_S_Second,Coordinates_N_Degree,Coordinates_N_Minute,Coordinates_N_Second
1,1,34.59305556,71.72861111,Malakand,Malakand,Batkhela,Agra,24.2,25.5,1.3,5.37,26100,27200,1100,4.21,90.45,1,Malakand,Malakand,Batkhela,34 35 404,71 43 008,1113,71,43,8,34,35,4
2,2,34.4575,71.81333333,Malakand,Malakand,Drgai,Heroshah,16,15.9,-0.1,-0.62,17400,16894,-506,-2.91,89.77,2,Malakand,Malakand,Drgai,34 27 550,71 48 460,477,71,48,60,34,27,50
3,3,34.57611111,72.37277778,Malakand,Bunir,Daggar,Kat Kala (Chaar),78,79.2,1.2,1.54,83850,85400,1550,1.85,94,3,Malakand,Bunir,Daggar,34 34 124,72 22 396,769,72,22,96,34,34,24
4,4,34.38972222,72.44055556,Malakand,Bunir,Chamla,Ambela Dara,43,44.2,1.2,2.79,46250,46127,-123,-0.27,95,4,Malakand,Bunir,Chamla,34 23 178,72 26 457,779,72,26,57,34,23,78
5,5,34.74555556,72.69472222,Malakand,Alpuri,Alpuri,"Moharmai, Bingalai",68,67.89,-0.11,-0.16,65000,65000,0,0,83,5,Malakand,Alpuri,Alpuri,34 44 51,72 41 17,1210,72,41,7,34,44,1
6,6,34.79638889,72.77944444,Malakand,Alpuri,Karora,Takotya,25,24.7,-0.3,-1.2,26861,26485,-376,-1.4,86.3,6,Malakand,Alpuri,Karora,34 47 57,72 46 11,1210,72,46,1,34,47,7
7,7,35.13555556,72.52527778,Malakand,Kalam,Behrain South,Shamirai taronga,38,37.94,-0.06,-0.15,40850,37400,-3450,-8.45,83,7,Malakand,Kalam,Behrain South,35 08 361,72 31 239,1528,72,31,39,35,8,61
8,8,31.915,12.20333333,Malakand,Kalam,Behrain South,Migram Piya,48,47.2,-0.8,-1.67,58920,59000,80,0.14,88.08,8,Malakand,Kalam,Behrain South,31 54 769,12 12 888,1351,12,12,88,31,54,69
9,9,35.49138889,72.59305556,Malakand,Kalam,Kalam,Asaan,38.9,38.34,-0.56,-1.45,41830,40128,-1702,-4.07,82.31,9,Malakand,Kalam,Kalam,35 29 313,72 35 201,2028,72,35,1,35,29,13
10,10,35.47444444,72.59305556,Malakand,Kalam,Kalam,Gayal jalband,8,7.82,-0.18,-2.24,8530,8400,-130,-1.52,83,10,Malakand,Kalam,Kalam,35 28 125,72 35 615,2029,72,35,15,35,28,25
